LNUM	ENTREE	ORIGINE	RENVOI	DESTINATION	NOTE
L00001	aa	aa	incontournable*	incontournable	
L00002	aa	aa	lave*	lave	
L00003	aa	aa	cheire*	cheire	
L00004	aa	aa	pahoehoe*	pahoehoe	
L00005	aber	aber	ria*	ria	
L00006	abîme	abîme	gouffre*	gouffre	
L00007	abîme	abîme	gorge*	gorge	
L00008	abîme	abîme	cime*	cime	
L00009	abîme	abîme	échelle*	échelle	
L00010	abîme	abîme	carton*	carton	
L00011	abîme	abîme	formes fractales*	fractal	
L00012	ablation	ablation	érosion*	érosion	
L00013	ablation	ablation	fusion*	fusion	
L00014	ablation	ablation	sublimation*	sublimation	
L00015	abords	abords	bord*	bord	
L00016	aborigène	aborigène	indigène*	indigène	
L00017	aborigène	aborigène	autochtone*	autochtone	
L00018	aborigène	aborigène	natif*	natif	
L00019	abrasion	abrasion	platier*	platier	
L00020	abrasion	abrasion	fjell*	fjell	
L00021	abrasion	abrasion	moutonné*	mouton	
L00022	abri	abri	cagnard*	cagnard	
L00023	abri	abri	antre*	antre	
L00024	abri	abri	gélifraction*	NA	
L00025	abri	abri	port*	port	
L00026	abri	abri	havre*	havre	
L00027	abri	abri	crique*	crique	
L00028	abri	abri	bassin*	bassin	
L00029	abri	abri	rade*	rade	
L00030	abri	abri	aubette*	aubette	
L00031	abri	abri	refuge*	refuge	
L00032	abrupt	abrupt	escarpement*	escarpement	
L00033	abrupt	abrupt	route*	route	
L00034	absentéisme	absentéisme	taux*	taux	
L00035	absentéisme	absentéisme	« au noir* »	noir	
L00036	abstraction	abstraction	contingence*	contingence	
L00037	abstraction	abstraction	médias*	média	
L00038	abstraction	abstraction	structure*	structure	
L00039	abstraction	abstraction	bruit*	bruit	
L00040	abstraction	abstraction	forme* singulière	forme	
L00041	abstraction	abstraction	modèle*	modèle	
L00042	abstraction	abstraction	carte*	carte	
L00043	abstraction	abstraction	généralisation* 	généralisation	
L00044	abstraction	abstraction	comparaison*	comparaison	
L00045	abstraction	abstraction	concret*	concret	
L00046	abstraction	abstraction	terrain*	terrain	
L00047	abstraction	abstraction	Antée*	Antée	
L00048	abyssal	abyssal	abîme*	abîme	
L00049	acadien	acadien	NA	acadien	
L00050	accessibilité	accessibilité	TGV*	TGV	
L00051	accessibilité	accessibilité	potentiels*	potentiel	
L00052	accessibilité	accessibilité	théorie des graphes*	graphe	
L00053	accessibilité	accessibilité	connectivité*	connectivité	
L00054	accessibilité	accessibilité	« nids* d'aigle »	nid	
L00055	accident	accident	hasard*	hasard	
L00056	accident	accident	calamité*	calamité	
L00057	accident	accident	gouffres*	gouffre	
L00058	accident	accident	crevasses*	NA	
L00059	accident	accident	failles*	faille	
L00060	accident	accident	chtonien*	chtonien	
L00061	accident	accident	tréfonds*	tréfonds	
L00062	accident	accident	frontières*	frontière	
L00063	accident	accident	fronts*	front	
L00064	accident	accident	interfaces*	interface	
L00065	accident	accident	limites*	limite	
L00066	accident	accident	discontinuités*	discontinuité	
L00067	accidenté	accidenté	accident*	accident	
L00068	accidenté	accidenté	coupé* (pays)	coupé (pays)	
L00069	accrétion	accrétion	concrétion*	concrétion	
L00070	accrétion	accrétion	globe*	globe	
L00071	accrétion	accrétion	plages*	plage	
L00072	accueillant	accueillant	relief*	relief	
L00073	accueillant	accueillant	polyculture*	polyculture	
L00074	accueillant	accueillant	steppe*	steppe	
L00075	accueillant	accueillant	taïga*	taïga	
L00076	accueillant	accueillant	riant*	riant	
L00077	accueillant	accueillant	agreste*	agreste	
L00078	acclimatation	acclimatation	climat*	climat	
L00079	acclimatation	acclimatation	exotiques*	exotique	
L00080	acclimatation	acclimatation	milieu*	milieu	
L00081	acclimatation	acclimatation	accueillant*	accueillant	
L00082	acculturation	acculturation	creuset* 	creuset	
L00083	acculturation	acculturation	intégration*	intégration	
L00084	accumulation	accumulation	anal*	analité	
L00085	accumulation	accumulation	plus-value*	plus-value	
L00086	accumulation	accumulation	levier*	NA	
L00087	accumulation	accumulation	économie d'échelle*	économie d'échelle	
L00088	accumulation	accumulation	performance*	performance	
L00089	accumulation	accumulation	inné*	innéisme	
L00090	accumulation	accumulation	réservoirs*	réservoir	
L00091	accumulation	accumulation	barrage*	barrage	
L00092	accumulation	accumulation	déséconomies*	NA	
L00093	accumulation	accumulation	régions pionnières*	pionnier	
L00094	accumulation	accumulation	agglomération*	agglomération	
L00095	accumulation	accumulation	bassins*	bassin	
L00096	accumulation	accumulation	cuvettes*	cuvette	
L00097	accumulation	accumulation	cônes* de déjection	cône de déjection	
L00098	accumulation	accumulation	deltas*	delta	
L00099	accumulation	accumulation	bancs*	banc	
L00100	accumulation	accumulation	levées*	levée	
L00101	accumulation	accumulation	plages*	plage	
L00102	accumulation	accumulation	moraines*	moraine	
L00103	accumulation	accumulation	dépôts sous-glaciaires*	glaciaire	
L00104	accumulation	accumulation	dunes*	dune	
L00105	accumulation	accumulation	éboulis*	éboulis	
L00106	accumulation	accumulation	remblaiements*	remblai	
L00107	accumulation	accumulation	ennoyage*	ennoyage	
L00108	accumulation	accumulation	sols*	sol	
L00109	accumulation	accumulation	illuvium*	illuvion	
L00110	accumulation	accumulation	podzols*	podzol	
L00111	accumulation	accumulation	croûtes*	croûte	
L00112	accumulation	accumulation	nappe phréatique*	phréatique	
L00113	acier	acier	sidérurgie*	sidérurgie	0def
L00114	ACP	ACP	coopération*	coopération	
L00115	ACP	ACP	CEE*	CEE	
L00116	ACP	ACP	composantes* principales (analyse en)	composantes principales	
L00117	acre	acre	arpent*	arpent	
L00118	acre	acre	ager* 	ager	
L00119	acre	acre	agriculture*	agriculture	
L00120	acropole	acropole	citadelle*	citadelle	
L00121	acropole	acropole	casbah*	casbah	
L00122	acropole	acropole	éminences*	éminence	
L00123	acteur	acteur	maille*	maille	
L00124	acteur	acteur	stratégies*	stratégie	
L00125	acteur	acteur	représentations*	représentation	
L00126	acteur	acteur	qualités*	qualité	
L00127	acteur	acteur	intérêts*	intérêt	
L00128	actifs	actifs	travailleurs*	travailleur	
L00129	actifs	actifs	population* active	population active	
L00130	action	action	acteur*	acteur	
L00131	action	action	agents*	agent	
L00132	action	action	autre*	autre	
L00133	action	action	fonctionnalisme*	fonctionnalisme	
L00134	action	action	structuralisme*	structuralisme	
L00135	action	action	accumulation*	accumulation	
L00136	actualiser	actualiser	NA	actualiser	
L00137	actualisme	actualisme	processus géomorphogénétiques*	géomorphogénèse	
L00138	adaptation	adaptation	ubiquiste*	ubiquiste	
L00139	adaptation	adaptation	s'acculturer*	acculturation	
L00140	adaptation	adaptation	s'intégrer*	intégration	
L00141	adaptation	adaptation	congruence*	congruence	
L00142	adaptation	adaptation	remembrements*	remembrement	
L00143	adaptation	adaptation	sidérurgie*	sidérurgie	
L00144	adaptation	adaptation	redéploiement*	redéploiement	
L00145	adaptation	adaptation	reconversion*	reconversion	
L00146	adaptation	adaptation	révolution*	révolution	
L00147	adaptation	adaptation	aménager*	aménagement	
L00148	adaptation	adaptation	épigénie*	épigénie	
L00149	adaptation	adaptation	surimposition*	NA	
L00150	adaptation	adaptation	antécédence*	antécédence	
L00151	adaptation	adaptation	capture*	capture	
L00152	adduction	adduction	effluent*	effluent	
L00153	adiabatique	adiabatique	NA	adiabatique	
L00154	adobe	adobe	NA	adobe	
L00155	adressage	adressage	publipostage*	publipostage	
L00156	adressage	adressage	routage*	NA	
L00157	adresse	adresse	endroit*	endroit	
L00158	adresse	adresse	coordonnées*	coordonnées	
L00159	adresse	adresse	pixel*	pixel	
L00160	adresse	adresse	lieu-dit*	lieu-dit	
L00161	adresse	adresse	spatialité*	spatial	
L00162	adresse	adresse	antimondes*	antimonde	
L00163	adresse	adresse	système d'information géographique (SIG)*	SIG	
L00164	adret	adret	endroit* 	endroit	
L00165	adret	adret	versant*	versant	
L00166	adret	adret	soulane*	soulane	
L00167	adret	adret	ubac*	ubac	
L00168	advection	advection	brouillard*	brouillard	
L00169	AELE	AELE	NA	AELE	
L00170	aéroport	aéroport	port*	port	
L00171	aéroport	aéroport	pivot*	pivot	
L00172	aérospatial	aérospatial	NA	aérospatial	
L00173	affaire	affaire	jungle*	jungle	
L00174	affaire	affaire	bazar*	bazar	
L00175	affaire	affaire	expédition*	expédition	
L00176	affaire	affaire	CBD*	CBD	
L00177	affaire	affaire	libanais*	libanais	
L00178	affect	affect	NA	affect	
L00179	affectation	affectation	appropriation*	appropriation	
L00180	affectation	affectation	sols*	sol	
L00181	affluent	affluent	tributaire*	tributaire	
L00182	affluent	affluent	débit*	débit	
L00183	affluent	affluent	bassins-versants*	bassin-versant	
L00184	affluent	affluent	confluent*	confluent	
L00185	affluent	affluent	diffluence*	diffluence	
L00186	affluent	affluent	effluent*	effluent	
L00187	affordance	affordance	prise*	prise	
L00188	africain	africain	NA	africain	
L00189	africanisation	africanisation	indépendance*	indépendance	
L00190	agadir	africain	NA	africain	
L00191	âge	âge	retraités*	retraite	
L00192	âge	âge	terrain*	terrain	
L00193	agent	agent	acteurs*	acteur	
L00194	agent	agent	processus*	processus	
L00195	agent	agent	vecteurs*	vecteur	
L00196	agent	agent	CNRS*	CNRS	
L00197	ager	ager	saltus*	saltus	
L00198	ager	ager	pacages*	pacage	
L00199	agglomération	agglomération	écart*	écart	
L00200	agglomération	agglomération	ville*	ville	
L00201	agglomération	agglomération	maillage*	maillage	
L00202	agglomération	agglomération	ZPIU*	ZPIU	
L00203	agglomération	agglomération	« unité* urbaine »	unité urbaine	
L00204	agglomération	agglomération	INSEE*	INSEE	
L00205	agglomération	agglomération	« unité* urbaine multicommunale »	unité urbaine	
L00206	agglomération	agglomération	aire* urbaine	aire	
L00207	agglomération	agglomération	banlieue*	banlieue	
L00208	agglomération	agglomération	conurbation*	conurbation	
L00209	agglomération	agglomération	grappe*	grappe	
L00210	agglomération	agglomération	nébuleuse*	nébuleuse	
L00211	agglomération	agglomération	région* urbaine	région	
L00212	agglomération	agglomération	villages*	village	
L00213	agglomération	agglomération	déséconomies*	NA	
L00214	agglomération	agglomération	économies d'échelle*	économie d'échelle	
L00215	agora	agora	marché*	marché	
L00216	agora	agora	forum*	forum	
L00217	agora	agora	places « dérobées »*	dérobé	
L00218	agora	agora	labyrinthe*	labyrinthe	
L00219	agora	agora	forum*	forum	
L00220	agora	agora	bazar*	bazar	
L00221	agraire	agraire	ager*	ager	
L00222	agraire	agraire	foncier*	foncier	
L00223	agraire	agraire	arpent*	arpent	
L00224	agraire	agraire	journal*	journal	
L00225	agraire	agraire	saltus*	saltus	
L00226	agraire	agraire	silva*	NA	
L00227	agraire	agraire	bocage*	bocage	
L00228	agraire	agraire	champagne*	champagne	
L00229	agraire	agraire	hérupe*	hérupe	
L00230	agraire	agraire	openfield*	openfield	
L00231	agraire	agraire	parcellaire*	parcellaire	
L00232	agraire	agraire	finage*	finage	
L00233	agraire	agraire	morcellement*	NA	
L00234	agraire	agraire	parcellement*	parcellement	
L00235	agrégat	agrégat	PIB*	PIB	
L00236	agrégat	agrégat	revenu*	revenu	
L00237	agrégat	agrégat	observations*	observation	
L00238	agrégat	agrégat	attributs*	attribut	
L00239	agrégat	agrégat	établissement*	établissement	
L00240	agrégation	agrégation	autocorrélation*	autocorrélation	
L00241	agrégation	agrégation	attracteurs*	attracteur	
L00242	agrégation	agrégation	agglomération*	agglomération	
L00243	agrégation	agrégation	ségrégation*	ségrégation	
L00244	agrégation	agrégation	masses* 	masse	
L00245	agrégation	agrégation	lieux* centraux	lieu	
L00246	agrégation	agrégation	niveaux* d'agrégation	niveau	
L00247	agrégation	agrégation	contrées*	contrée	
L00248	agrégation	agrégation	agrégat*	agrégat	
L00249	agrégation	agrégation	attributs*	attribut	
L00250	agrégation	agrégation	désagrégation*	désagrégation	
L00251	agreste	agreste	latifundios*	latifundio	
L00252	agriculture	agriculture	élevage*	élevage	
L00253	agriculture	agriculture	cueillette*	cueillette	
L00254	agriculture	agriculture	industrie*	industrie	
L00255	agriculture	agriculture	physiocrates*	physiocrate	
L00256	agriculture	agriculture	écologisme*	écologisme	
L00257	agriculture	agriculture	intrants*	intrant	
L00258	agriculture	agriculture	risques*	risque	
L00259	agriculture	agriculture	spéculation*	spéculation	
L00260	agriculture	agriculture	regadio*	regadio	
L00261	agriculture	agriculture	secano*	secano	
L00262	agriculture	agriculture	intrants*	intrant	
L00263	agriculture	agriculture	extrants*	extrant	
L00264	agriculture	agriculture	tenure*	tenure	
L00265	agriculture	agriculture	paysage agraire*	agraire	
L00266	agriculture	agriculture	assolement*	assolement	
L00267	agriculture	agriculture	brûlis*	brûlis	
L00268	agriculture	agriculture	exploitation* agricole	exploitation	
L00269	agriculture	agriculture	ferme*	ferme	
L00270	agriculture	agriculture	monoculture*	monoculture	
L00271	agriculture	agriculture	polyculture*	polyculture	
L00272	agriculture	agriculture	rotation*	rotation	
L00273	agriculture	agriculture	sole*	sole	
L00274	agriculture	agriculture	système* de culture	système	
L00275	agro-alimentaire	agro-alimentaire	aquaculture*	aquaculture	
L00276	agro-alimentaire	agro-alimentaire	IAA* (industries agroalimentaires)	IAA, IBC	
L00277	agrobusiness	agrobusiness	paysan*	paysan	
L00278	agro-pastoral	agro-pastoral	pâture*	pâturage	
L00279	agro-pastoral	agro-pastoral	ager*	ager	
L00280	agro-pastoral	agro-pastoral	saltus*	saltus	
L00281	agroville	agroville	kibboutz*	kibboutz	
L00282	aide	aide	aide au développement*	développement	
L00283	aiguille	aiguille	sommets*	sommet	
L00284	aiguillon	aiguillon	pouvoir*	pouvoir	
L00285	ailleurs	ailleurs	voyage*	voyage	
L00286	ailleurs	ailleurs	aliénation*	aliénation	
L00287	ailleurs	ailleurs	altérité*	altérité	
L00288	aïn	aïn	source*	source	
L00289	aïn	aïn	fontaine*	fontaine	
L00290	air	air	éther*	éther	
L00291	air	air	atmosphère*	atmosphère	
L00292	air	air	environnement*	environnement	
L00293	air	air	ambiance*	ambiance	
L00294	air	air	climat*	climat	
L00295	air	air	vent*	vent	
L00296	air	air	circulation* aérienne	circulation	
L00297	air	air	pollution*	pollution	
L00298	aire	aire	aréolaire*	aréolaire	
L00299	aire	aire	auréolaire*	auréolaire	
L00300	aire	aire	agraire*	agraire	
L00301	aire	aire	arrière*-pays	arrière	
L00302	aire	aire	tombée*	tombée	
L00303	aire	aire	rayon*	rayon	
L00304	aire	aire	ressort*	ressort	
L00305	aire	aire	aire d'influence*	influence	
L00306	aire	aire	aire d'attraction*	attraction	
L00307	aire	aire	aire de services*	services	
L00308	aire	aire	aire de chalandise*	chaland	
L00309	aire	aire	agglomération*	agglomération	
L00310	aire	aire	ZPIU*	ZPIU	
L00311	aire	aire	plage*	plage	
L00312	aire	aire	choroplèthe*	choroplèthe	
L00313	ajoupa	ajoupa	NA	ajoupa	
L00314	ajustement	ajustement	nuage*	nuage	
L00315	ajustement	ajustement	fréquences*	fréquence	
L00316	ajustement	ajustement	loi de probabilités*	probabilité	
L00317	ajustement	ajustement	fonction*	fonction	
L00318	ajustement	ajustement	résidu*	résidu	
L00319	ajustement	ajustement	corrélation*	corrélation	
L00320	ajustement	ajustement	régression*	régression	
L00321	ajustement	ajustement	tendance*	tendance	
L00322	albédo	albédo	NA	albédo	
L00323	alcazar	alcazar	el ksar*	ksar	
L00324	alcazar	alcazar	palais*	palais	
L00325	alcazar	alcazar	citadelle*	citadelle	
L00326	aléatoire	aléatoire	hasard*	hasard	
L00327	aléatoire	aléatoire	probabilité*.	probabilité	
L00328	aléatoire	aléatoire	autocorrélation*	autocorrélation	
L00329	aléatoire	aléatoire	déterministe*	déterminisme	
L00330	ALENA	ALENA	NA	ALENA	
L00331	alentour	alentour	NA	alentour	
L00332	algorithme	algorithme	tris*	NA	
L00333	algorithme	algorithme	logiciels*	NA	
L00334	algorithme	algorithme	plus* proches voisins	plus proche voisin	
L00335	algorithme	algorithme	connectivité*	connectivité	
L00336	algorithme	algorithme	SIG*	SIG	
L00337	alidade	alidade	point*	point	
L00338	alidade	alidade	s'orienter*	orientation	
L00339	aliénation	aliénation	racines*	racine	
L00340	aliénation	aliénation	milieu*	milieu	
L00341	aliénation	aliénation	rapt*	rapt	
L00342	aliénation	aliénation	espaces pionniers*	pionnier	
L00343	aliénation	aliénation	ex*	ex-	
L00344	aliénation	aliénation	exil*	exil	
L00345	aliénation	aliénation	exode*	exode	
L00346	aliénation	aliénation	déportation*	déportation	
L00347	aliénation	aliénation	antimonde*	antimonde	
L00348	aliénation	aliénation	é-tranger*	étranger	
L00349	aliénation	aliénation	Antée*	Antée	
L00350	alignement	alignement	linéament*	NA	
L00351	alignement	alignement	faille*	faille	
L00352	alignement	alignement	pli*	pli	
L00353	alimentation	alimentation	agro-alimentaire*	agro-alimentaire	
L00354	alimentation	alimentation	adduction*	adduction	
L00355	alimentation	alimentation	approvisionnement*	approvisionnement	
L00356	alimentation	alimentation	malnutrition*	malnutrition	
L00357	alimentation	alimentation	atterrissement*	atterrissement	
L00358	alimentation	alimentation	engraissement*	engraissement	
L00359	alimentation	alimentation	écoulement*	écoulement	
L00360	alimentation	alimentation	ablation*	ablation	
L00361	alios	alios	accumulation	accumulation	0def
L00362	alizé	alizé	NA	alizé	
L00363	allée	allée	mail*	mail	
L00364	allée	allée	cours*	cours	
L00365	allée	allée	avenue*	avenue	
L00366	allemand	allemand	nation*	nation	
L00367	allemand	allemand	espace* vital	espace vital	
L00368	allemand	allemand	barbare*	barbare	
L00369	allocation d'espace	allocation d'espace	utilisation*	utilisation du sol	
L00370	allocation d'espace	allocation d'espace	appropriation*	appropriation	
L00371	allochtone	allochtone	allogène*	allogène	
L00372	allochtone	allochtone	autochtone*	autochtone	
L00373	allogène	allogène	allochtone*	allochtone	
L00374	allogène	allogène	indigène*	indigène	
L00375	allogène	allogène	natif*	natif	
L00376	allométrie	allométrie	NA	allométrie	
L00377	alluvion	alluvion	dépôts*	dépôt	
L00378	alluvion	alluvion	débris*	débris	
L00379	alluvion	alluvion	épandage*	épandage	
L00380	alluvion	alluvion	fluviatiles*	fluviatile	
L00381	alluvion	alluvion	fluvioglaciaires*	fluvio-	
L00382	alluvion	alluvion	vases*	NA	
L00383	alluvion	alluvion	limons*	limon	
L00384	alluvion	alluvion	sables*	sable	
L00385	alluvion	alluvion	graviers*	grave	
L00386	alluvion	alluvion	cailloutis*	caillou	
L00387	alluvion	alluvion	cônes* de déjection	cône de déjection	
L00388	alluvion	alluvion	deltas*	delta	
L00389	alluvion	alluvion	terrasses*	terrasse	
L00390	alluvion	alluvion	gravières*	NA	
L00391	alluvion	alluvion	placer*	placer	
L00392	alluvion	alluvion	strate*	strate	
L00393	alpe	alpe	estive*	estive	
L00394	alpe	alpe	remue*	remue	
L00395	alpe	alpe	transhumance*	transhumance	
L00396	alphabet	alphabet	chorème*	chorème	
L00397	altération	altération	décomposition*	décomposition	
L00398	altération	altération	arène* granitique	arène	
L00399	altérité	altérité	autre*	autre	
L00400	altérité	altérité	différence*	différence	
L00401	altérité	altérité	au-delà*	au-delà	
L00402	altérité	altérité	bloc*	bloc	
L00403	altérité	altérité	nomenclature*	nomenclature	
L00404	altérité	altérité	étranger*	étranger	
L00405	altérité	altérité	aubain*	NA	
L00406	altérité	altérité	ailleurs*	ailleurs	
L00407	altérité	altérité	métèque*	métèque	
L00408	altiplano	altiplano	NA	altiplano	
L00409	altitude	altitude	alimentation*	alimentation	
L00410	altitude	altitude	accidenté*	accidenté	
L00411	altitude	altitude	ellipsoïde*	ellipsoïde	
L00412	altitude	altitude	étagement*	étagement	
L00413	altitude	altitude	alpage*	alpe	
L00414	altitude	altitude	panoramique*	panorama	
L00415	altruisme	altruisme	autre*	autre	
L00416	altruisme	altruisme	« tribal »*	tribalisme	
L00417	altruisme	altruisme	« de meute»*	meute	
L00418	altruisme	altruisme	altérité*	altérité	
L00419	altruisme	altruisme	identité*	identité	
L00420	altruisme	altruisme	territorialité*	territorialité	
L00421	amas	amas	masse*	masse	
L00422	amas	amas	vide*	vide	
L00423	amas	amas	mégalopoles*	mégalopole	
L00424	amas	amas	performance*	performance	
L00425	amas	amas	encadrement*	encadrement	
L00426	amas	amas	synapses*	synapse	
L00427	amazone	amazone	Eldorado*	eldorado	
L00428	amazone	amazone	bonanzas*	bonanza	
L00429	ambassade	ambassade	mission*	mission	
L00430	ambassade	ambassade	exterritorialité*	exterritorialité	
L00431	ambassade	ambassade	asiles*	asile	
L00432	ambassade	ambassade	médiateur*	médiateur	
L00433	ambiance	ambiance	atmosphère*	atmosphère	
L00434	ambiance	ambiance	climat*	climat	
L00435	âme	âme	paysage* d'âme	paysage d’âme	
L00436	aménagement	aménagement	énergie*	énergie	
L00437	aménagement	aménagement	justice* sociale	justice spatiale	
L00438	aménagement	aménagement	redistribution*	redistribution	
L00439	aménagement	aménagement	économies d'échelle*	économie d'échelle	
L00440	aménagement	aménagement	entropie*	entropie	
L00441	aménagement	aménagement	places*	place	
L00442	aménagement	aménagement	régions*	région	
L00443	aménagement	aménagement	principe de subsidiarité*	subsidiarité	
L00444	aménagement	aménagement	division* spatiale du travail	division spatiale du travail	
L00445	aménagement	aménagement	localisation*	localisation	
L00446	aménagement	aménagement	« vocation »*	vocation	
L00447	aménagement	aménagement	mailles*	maille	
L00448	aménagement	aménagement	ménagement*	ménage	
L00449	amendement	amendement	marnage*	marnage	
L00450	aménité	aménité	NA	aménité	
L00451	amer	amer	marque*	marquage	
L00452	américain	américain	étatsunien*	étatsunien	
L00453	américain	américain	yankee*	yankee	
L00454	amniotique	amniotique	abris*	abri	
L00455	amniotique	amniotique	antres*	antre	
L00456	amniotique	amniotique	coins*	coin	
L00457	amniotique	amniotique	vallons*	vallon	
L00458	amniotique	amniotique	giron*	giron	
L00459	amniotique	amniotique	nid*	nid	
L00460	amniotique	amniotique	berceau*	berceau	
L00461	amniotique	amniotique	patrie*	patrie	
L00462	amniotique	amniotique	chtonien*	chtonien	
L00463	amont	amont	industries de biens intermédiaires, ou IBI*	IAA, IBC	
L00464	amphidromique	amphidromique	marée*	marée	0def
L00465	amphithéâtre	amphithéâtre	cul*	cul	
L00466	amphithéâtre	amphithéâtre	cuvette*	cuvette	
L00467	amphithéâtre	amphithéâtre	cirques* glaciaires	cirque	
L00468	amphithéâtre	amphithéâtre	amphithéâtre morainique*	moraine	
L00469	amphithéâtre	amphithéâtre	vallum*	vallum	
L00470	anachorète	anachorète	espace*	espace	
L00471	anachorète	anachorète	désert*	désert	
L00472	anachorète	anachorète	carte*	carte	
L00473	analité	analité	allemand*	allemand	
L00474	analité	analité	auvergnat*	auvergnat	
L00475	analité	analité	écossais*	écossais	
L00476	analité	analité	cloaque*	cloaque	
L00477	analité	analité	marécage*	marécage	
L00478	analité	analité	foirage*	foirage	
L00479	analité	analité	débris*	débris	
L00480	analité	analité	dépôts*	dépôt	
L00481	analité	analité	cône*	cône de déjection	
L00482	analité	analité	sédiments*	sédiment	
L00483	analité	analité	chtoniens*	chtonien	
L00484	analogie	analogie	chorème*	chorème	
L00485	analogie	analogie	synapse*	synapse	
L00486	analogie	analogie	gravitation*	gravitation	
L00487	analogie	analogie	structure* spatiale	structure	
L00488	analogie	analogie	système*	système	
L00489	analogie	analogie	appareil*	appareil	
L00490	analyse	analyse	synthèse*	synthèse	
L00491	analyse	analyse	discours totalisant*	totalité	
L00492	analyse	analyse	tentations globalisantes*	global	
L00493	analyse	analyse	holistiques*	holisme	
L00494	analyse	analyse	description*	description	
L00495	analyse	analyse	analyse multivariée*	multivarié	
L00496	analyse	analyse	factorielle*	factorielle (analyse)	
L00497	analyse spatiale	analyse spatiale	distances*	distance	
L00498	analyse spatiale	analyse spatiale	krigeage*	krigeage	
L00499	analyse spatiale	analyse spatiale	diffusion*	diffusion	
L00500	analyse spatiale	analyse spatiale	autocorrélation*	autocorrélation	
L00501	analyse spatiale	analyse spatiale	structure-résidus*	structure-résidus	
L00502	analyse spatiale	analyse spatiale	plus* proche voisin	plus proche voisin	
L00503	analyse spatiale	analyse spatiale	potentiel*	potentiel	
L00504	analyse spatiale	analyse spatiale	interaction*	interaction	
L00505	analyse spatiale	analyse spatiale	gravitation*	gravitation	
L00506	analyse spatiale	analyse spatiale	analyse des réseaux*	réseau	
L00507	analyse spatiale	analyse spatiale	graphe*	graphe	
L00508	analyse spatiale	analyse spatiale	topologie*	topologie	
L00509	anamorphose	anamorphose	projection*	projection	
L00510	anamorphose	anamorphose	mailles*	maille	
L00511	anamorphose	anamorphose	tendance* spatiale	tendance	
L00512	anascopie	anascopie	spécifique*	spécifique	
L00513	andalou	andalou	NA	andalou	
L00514	anglade	anglade	bayous*	bayou	
L00515	anglais	anglais	étatsunien*	étatsunien	
L00516	anglais	anglais	contrôler*	contrôler	
L00517	anglais	anglais	dédier*	dédier	
L00518	anglais	anglais	rampant*	rampant	
L00519	anglo-saxon	anglo-saxon	wasp*	wasp	
L00520	anisotrope	anisotrope	isotropie*	isotrope	
L00521	anisotrope	anisotrope	dissymétries*	dissymétrie	
L00522	anomal	anomal	activités «banales*»	NA	
L00523	anomalie	anomalie	position*	position	
L00524	anse	anse	NA	anse	
L00525	antarctique	antarctique	arctique*	arctique	
L00526	antarctique	antarctique	polaire* 	polaire	
L00527	antécédence	antécédence	épigénie*	épigénie	
L00528	antédiluvien	antédiluvien	déluge*	déluge	0def
L00529	Antée	Antée	terrain*	terrain	
L00530	Antée	Antée	concret*	concret	
L00531	Antée	Antée	racines*	racine	
L00532	anthropique	anthropique	érosion* anthropique	érosion	
L00533	anthropogéographie	anthropogéographie	NA	anthropogéographie	
L00534	anthropomorphisme	anthropomorphisme	croupe*	croupe	
L00535	anthropomorphisme	anthropomorphisme	mamelon*	mamelon	
L00536	anthropomorphisme	anthropomorphisme	dos*	dos	
L00537	anthropomorphisme	anthropomorphisme	cul*	cul	
L00538	anthropomorphisme	anthropomorphisme	tête*	tête	
L00539	anthropomorphisme	anthropomorphisme	cap*	cap	
L00540	anthropomorphisme	anthropomorphisme	nez*	nez	
L00541	anthropomorphisme	anthropomorphisme	bouche*	bouche	
L00542	anthropomorphisme	anthropomorphisme	dent*	dent	
L00543	anthropomorphisme	anthropomorphisme	doigt*	NA	
L00544	anthropomorphisme	anthropomorphisme	coude*	coude	
L00545	anthropomorphisme	anthropomorphisme	bras*	bras	
L00546	anthropomorphisme	anthropomorphisme	col*	col	
L00547	anthropomorphisme	anthropomorphisme	boutonnière*	NA	
L00548	anthropomorphisme	anthropomorphisme	poche*	poche	
L00549	anthropomorphisme	anthropomorphisme	manteau*	manteau	
L00550	anthropomorphisme	anthropomorphisme	chapeau*	NA	
L00551	anthropomorphisme	anthropomorphisme	vallon*	vallon	
L00552	anthropomorphisme	anthropomorphisme	tentacules*	tentacule	
L00553	anthropomorphisme	anthropomorphisme	chevelu* 	chevelu	
L00554	anthropomorphisme	anthropomorphisme	image* géographique	image	
L00555	anthropomorphisme	anthropomorphisme	nature* 	nature	
L00556	anthropomorphisme	anthropomorphisme	hostile*	hostile	
L00557	anthropomorphisme	anthropomorphisme	ingrate*	ingrat	
L00558	anthropomorphisme	anthropomorphisme	accueillante*	accueillant	
L00559	anthropomorphisme	anthropomorphisme	changement*	changement	
L00560	anthropomorphisme	anthropomorphisme	harmonie*	harmonie	
L00561	anthropomorphisme	anthropomorphisme	écologisme*	écologisme	
L00562	anthropomorphisme	anthropomorphisme	riche*	riche	
L00563	anthropomorphisme	anthropomorphisme	paysage* d'âme	paysage d’âme	
L00564	anthropomorphisme	anthropomorphisme	personnalisation*	personne	
L00565	anthropomorphisme	anthropomorphisme	terre*	terre	
L00566	anthropomorphisme	anthropomorphisme	personnifiés*	personne	
L00567	anticipation	anticipation	prospective*	prospective	
L00568	anticipation	anticipation	chiliasme*	chiliasme	
L00569	anticlinal	anticlinal	anthropomorphisme*	anthropomorphisme	
